Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"ERCC4","ERCC Excision Repair 4, Endonuclease Catalytic Subunit","Protein Coding","44","GC16P013920","3.21537399291992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC4"
"NPHP1","Nephrocystin 1","Protein Coding","43","GC02M110122","3.2009220123291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPHP1"
"NPHP4","Nephrocystin 4","Protein Coding","39","GC01M005863","3.2009220123291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPHP4"
"PKHD1","PKHD1 Ciliary IPT Domain Containing Fibrocystin/Polyductin","Protein Coding","36","GC06M054544","3.19241404533386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKHD1"
"F5","Coagulation Factor V","Protein Coding","44","GC01M169511","3.18915915489197","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","48","GC19P010270","3.17782092094421","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"NPPA","Natriuretic Peptide A","Protein Coding","44","GC01M011846","3.172931432724","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA"
"HJV","Hemojuvelin BMP Co-Receptor","Protein Coding","35","GC01M146018","3.16743993759155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HJV"
"NEK2","NIMA Related Kinase 2","Protein Coding","50","GC01M211658","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK2"
"IDH3A","Isocitrate Dehydrogenase (NAD(+)) 3 Catalytic Subunit Alpha","Protein Coding","44","GC15P078131","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH3A"
"IDH3B","Isocitrate Dehydrogenase (NAD(+)) 3 Non-Catalytic Subunit Beta","Protein Coding","44","GC20M002658","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH3B"
"NGLY1","N-Glycanase 1","Protein Coding","43","GC03M025718","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGLY1"
"MAK","Male Germ Cell Associated Kinase","Protein Coding","43","GC06M010762","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAK"
"DHX38","DEAH-Box Helicase 38","Protein Coding","42","GC16P072127","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX38"
"DHDDS","Dehydrodolichyl Diphosphate Synthase Subunit","Protein Coding","41","GC01P026432","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHDDS"
"ARHGEF18","Rho/Rac Guanine Nucleotide Exchange Factor 18","Protein Coding","41","GC19P007351","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF18"
"ARL6","ADP Ribosylation Factor Like GTPase 6","Protein Coding","41","GC03P097764","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL6"
"TOPORS","TOP1 Binding Arginine/Serine Rich Protein, E3 Ubiquitin Ligase","Protein Coding","41","GC09M032540","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOPORS"
"PRPF4","Pre-MRNA Processing Factor 4","Protein Coding","41","GC09P113275","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF4"
"SLC7A14","Solute Carrier Family 7 Member 14","Protein Coding","40","GC03M170459","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A14"
"PRPF6","Pre-MRNA Processing Factor 6","Protein Coding","40","GC20P063981","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF6"
"RP2","RP2 Activator Of ARL3 GTPase","Protein Coding","40","GC0XP046836","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RP2"
"SNRNP200","Small Nuclear Ribonucleoprotein U5 Subunit 200","Protein Coding","40","GC02M096910","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP200"
"KLHL7","Kelch Like Family Member 7","Protein Coding","39","GC07P023105","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL7"
"AGBL5","AGBL Carboxypeptidase 5","Protein Coding","37","GC02P027044","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGBL5"
"ARL2BP","ADP Ribosylation Factor Like GTPase 2 Binding Protein","Protein Coding","37","GC16P057245","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL2BP"
"REEP6","Receptor Accessory Protein 6","Protein Coding","37","GC19P001491","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REEP6"
"RP1","RP1 Axonemal Microtubule Associated","Protein Coding","36","GC08P054555","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RP1"
"ZNF513","Zinc Finger Protein 513","Protein Coding","36","GC02M027377","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF513"
"KIZ","Kizuna Centrosomal Protein","Protein Coding","35","GC20P021125","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIZ"
"KIAA1549","KIAA1549","Protein Coding","35","GC07M138831","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA1549"
"SCAPER","S-Phase Cyclin A Associated Protein In The ER","Protein Coding","35","GC15M076347","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAPER"
"FAM161A","FAM161 Centrosomal Protein A","Protein Coding","33","GC02M061792","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM161A"
"PRCD","Photoreceptor Disc Component","Protein Coding","28","GC17P076527","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRCD"
"PCARE","Photoreceptor Cilium Actin Regulator","Protein Coding","26","GC02M029060","3.15959024429321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCARE"
"DOCK6","Dedicator Of Cytokinesis 6","Protein Coding","39","GC19M011199","3.14761638641357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK6"
"EOGT","EGF Domain Specific O-Linked N-Acetylglucosamine Transferase","Protein Coding","36","GC03M068975","3.14761638641357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EOGT"
"SREBF1","Sterol Regulatory Element Binding Transcription Factor 1","Protein Coding","44","GC17M017810","3.13813304901123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF1"
"CYRIB","CYFIP Related Rac1 Interactor B","Protein Coding","27","GC08M129969","3.12958383560181","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYRIB"
"TINF2","TERF1 Interacting Nuclear Factor 2","Protein Coding","40","GC14M024244","3.1193106174469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINF2"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","47","GC17P034255","3.10954856872559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"POSTN","Periostin","Protein Coding","41","GC13M037562","3.1025562286377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POSTN"
"INVS","Inversin","Protein Coding","43","GC09P100099","3.0728771686554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INVS"
"ASAH1","N-Acylsphingosine Amidohydrolase 1","Protein Coding","44","GC08M018055","3.06735634803772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASAH1"
"KRT16","Keratin 16","Protein Coding","42","GC17M041609","3.05292654037476","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT16"
"NDP-AS1","NDP Antisense RNA 1","RNA Gene","12","GC0XP043949","3.05219841003418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP-AS1"
"TFAP2A-AS2","TFAP2A Antisense RNA 2","RNA Gene","12","GC06P010404","3.05219841003418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A-AS2"
"SS3","Sarcoidosis, Susceptibility To, 3","Genetic Locus","1","GC10U901083","3.05219841003418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SS3"
"TFR2","Transferrin Receptor 2","Protein Coding","43","GC07M100620","3.03939533233643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFR2"
"MIR200B","MicroRNA 200b","RNA Gene","20","GC01P001167","3.03464317321777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"TBCE","Tubulin Folding Cofactor E","Protein Coding","37","GC01P235380","3.02781438827515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCE"
"NPHS2","NPHS2 Stomatin Family Member, Podocin","Protein Coding","40","GC01M179519","3.02397108078003","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPHS2"
"WRAP53","WD Repeat Containing Antisense To TP53","Protein Coding","40","GC17P009838","3.004958152771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRAP53"
"ADAMTS2","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 2","Protein Coding","41","GC05M179110","2.99661421775818","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS2"
"FCGR2A","Fc Fragment Of IgG Receptor IIa","Protein Coding","44","GC01P161505","2.98735117912292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2A"
"TNFSF15","TNF Superfamily Member 15","Protein Coding","43","GC09M114784","2.98735117912292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF15"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","47","GC01M058780","2.98213791847229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"ABCA1","ATP Binding Cassette Subfamily A Member 1","Protein Coding","45","GC09M104781","2.9661169052124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1"
"AXIN1","Axin 1","Protein Coding","45","GC16M000287","2.93915295600891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN1"
"PTPN22","Protein Tyrosine Phosphatase Non-Receptor Type 22","Protein Coding","46","GC01M113813","2.92918658256531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN22"
"HLA-DRA","Major Histocompatibility Complex, Class II, DR Alpha","Protein Coding","45","GC06P032439","2.92441725730896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRA"
"PRMT7","Protein Arginine Methyltransferase 7","Protein Coding","43","GC16P068396","2.92441725730896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT7"
"NOTCH2","Notch Receptor 2","Protein Coding","48","GC01M119911","2.92135190963745","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH2"
"PRTN3","Proteinase 3","Protein Coding","43","GC19P000840","2.88689374923706","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3"
"CERS3","Ceramide Synthase 3","Protein Coding","37","GC15M111159","2.88184428215027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERS3"
"SLC11A1","Solute Carrier Family 11 Member 1","Protein Coding","45","GC02P218382","2.87791705131531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC11A1"
"ALOXE3","Arachidonate Lipoxygenase 3","Protein Coding","41","GC17M009577","2.87655401229858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOXE3"
"CDKN1C","Cyclin Dependent Kinase Inhibitor 1C","Protein Coding","45","GC11M002901","2.87541055679321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1C"
"FKRP","Fukutin Related Protein","Protein Coding","39","GC19P046746","2.87310147285461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKRP"
"EDNRA","Endothelin Receptor Type A","Protein Coding","48","GC04P147480","2.86485886573792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDNRA"
"REN","Renin","Protein Coding","45","GC01M204154","2.85900259017944","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"NKX2-1","NK2 Homeobox 1","Protein Coding","45","GC14M036516","2.85335803031921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1"
"TTC21B","Tetratricopeptide Repeat Domain 21B","Protein Coding","36","GC02M165905","2.84926176071167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC21B"
"RBPJ","Recombination Signal Binding Protein For Immunoglobulin Kappa J Region","Protein Coding","45","GC04P026165","2.8322274684906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBPJ"
"BBS10","Bardet-Biedl Syndrome 10","Protein Coding","39","GC12M076344","2.78667306900024","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS10"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","43","GC02P203867","2.78201127052307","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"KRT19","Keratin 19","Protein Coding","43","GC17M041523","2.77509999275208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT19"
"EFEMP2","EGF Containing Fibulin Extracellular Matrix Protein 2","Protein Coding","42","GC11M077513","2.75108766555786","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFEMP2"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","52","GC15P066386","2.74187517166138","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"NCAPG2","Non-SMC Condensin II Complex Subunit G2","Protein Coding","37","GC07M158631","2.73545551300049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAPG2"
"HGF","Hepatocyte Growth Factor","Protein Coding","50","GC07M081699","2.71954083442688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF"
"DTNBP1","Dystrobrevin Binding Protein 1","Protein Coding","40","GC06M015523","2.71876764297485","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DTNBP1"
"MST1","Macrophage Stimulating 1","Protein Coding","44","GC03M049683","2.71830725669861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MST1"
"GPR35","G Protein-Coupled Receptor 35","Protein Coding","41","GC02P240605","2.71830725669861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR35"
"IL12A","Interleukin 12A","Protein Coding","41","GC03P159988","2.71830725669861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12A"
"TNPO3","Transportin 3","Protein Coding","39","GC07M128954","2.71830725669861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNPO3"
"SPIB","Spi-B Transcription Factor","Protein Coding","39","GC19P050418","2.71830725669861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPIB"
"POU2AF1","POU Class 2 Homeobox Associating Factor 1","Protein Coding","36","GC11M111352","2.71830725669861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2AF1"
"MMEL1","Membrane Metalloendopeptidase Like 1","Protein Coding","35","GC01M002590","2.71830725669861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMEL1"
"WAS","WASP Actin Nucleation Promoting Factor","Protein Coding","47","GC0XP048676","2.71552038192749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WAS"
"LIPA","Lipase A, Lysosomal Acid Type","Protein Coding","46","GC10M089213","2.71424102783203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPA"
"RET","Ret Proto-Oncogene","Protein Coding","51","GC10P043081","2.71268033981323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","45","GC14P061695","2.71128797531128","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"AGTR2","Angiotensin II Receptor Type 2","Protein Coding","41","GC0XP116170","2.71056580543518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR2"
"IFNA2","Interferon Alpha 2","Protein Coding","40","GC09M021384","2.70968222618103","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA2"
"FZD4","Frizzled Class Receptor 4","Protein Coding","48","GC11M086945","2.70925498008728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD4"
"ALMS1","ALMS1 Centrosome And Basal Body Associated Protein","Protein Coding","40","GC02P073385","2.70641922950745","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALMS1"
"F2","Coagulation Factor II, Thrombin","Protein Coding","46","GC11P046720","2.70346808433533","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"ANTXR1","ANTXR Cell Adhesion Molecule 1","Protein Coding","44","GC02P068977","2.70299386978149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANTXR1"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","48","GC14P075278","2.6946976184845","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS"
"MIR34A","MicroRNA 34a","RNA Gene","22","GC01M009151","2.6934027671814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"TMEM231","Transmembrane Protein 231","Protein Coding","36","GC16M075536","2.68076753616333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM231"
"B9D1","B9 Domain Containing 1","Protein Coding","35","GC17M019334","2.68076753616333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B9D1"
"TMEM216","Transmembrane Protein 216","Protein Coding","35","GC11P061391","2.68076753616333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM216"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","47","GC12M102395","2.66137742996216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"MT-TL1","Mitochondrially Encoded TRNA-Leu (UUA/G) 1","RNA Gene","15","GCMTP003232","2.65709948539734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TL1"
"KRT17","Keratin 17","Protein Coding","44","GC17M041619","2.65449333190918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT17"
"IL17A","Interleukin 17A","Protein Coding","40","GC06P052186","2.65429782867432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"LTBP2","Latent Transforming Growth Factor Beta Binding Protein 2","Protein Coding","43","GC14M074498","2.63631057739258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP2"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","46","GC01M155185","2.63613319396973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"BLOC1S6","Biogenesis Of Lysosomal Organelles Complex 1 Subunit 6","Protein Coding","37","GC15P045588","2.63439702987671","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLOC1S6"
"IL5","Interleukin 5","Protein Coding","42","GC05M132541","2.63408160209656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5"
"TNFRSF11A","TNF Receptor Superfamily Member 11a","Protein Coding","43","GC18P062325","2.62907075881958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A"
"APOA1","Apolipoprotein A1","Protein Coding","47","GC11M116835","2.62212777137756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"HPS1","HPS1 Biogenesis Of Lysosomal Organelles Complex 3 Subunit 1","Protein Coding","41","GC10M098416","2.60596323013306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPS1"
"NBEAL2","Neurobeachin Like 2","Protein Coding","40","GC03P046979","2.60596323013306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBEAL2"
"HPS3","HPS3 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 1","Protein Coding","39","GC03P149129","2.60596323013306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPS3"
"HPS4","HPS4 Biogenesis Of Lysosomal Organelles Complex 3 Subunit 2","Protein Coding","38","GC22M026443","2.60596323013306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPS4"
"HPS5","HPS5 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 2","Protein Coding","38","GC11M018278","2.60596323013306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPS5"
"HPS6","HPS6 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 3","Protein Coding","38","GC10P102065","2.60596323013306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPS6"
"CD34","CD34 Molecule","Protein Coding","41","GC01M207880","2.6012601852417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34"
"KRT15","Keratin 15","Protein Coding","38","GC17M041513","2.59769487380981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT15"
"MIR137","MicroRNA 137","RNA Gene","18","GC01M098046","2.59622693061829","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR137"
"B9D2","B9 Domain Containing 2","Protein Coding","37","GC19M041354","2.59525537490845","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B9D2"
"CASP3","Caspase 3","Protein Coding","48","GC04M184627","2.58694982528687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","51","GC07P116672","2.57863807678223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"CFHR1","Complement Factor H Related 1","Protein Coding","40","GC01P196822","2.57603192329407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFHR1"
"AGT","Angiotensinogen","Protein Coding","47","GC01M230702","2.5595908164978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"GUSB","Glucuronidase Beta","Protein Coding","45","GC07M065960","2.55272269248962","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB"
"IGF2R","Insulin Like Growth Factor 2 Receptor","Protein Coding","44","GC06P159969","2.54083371162415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2R"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","52","GC01M011106","2.5381908416748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"MIR10B","MicroRNA 10b","RNA Gene","21","GC02P176150","2.53387308120728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10B"
"ABCA12","ATP Binding Cassette Subfamily A Member 12","Protein Coding","41","GC02M214931","2.53376293182373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA12"
"SCN5A","Sodium Voltage-Gated Channel Alpha Subunit 5","Protein Coding","48","GC03M038549","2.53261971473694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN5A"
"CFTR-AS1","CFTR Antisense RNA 1","RNA Gene","10","GC07M117561","2.53261971473694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR-AS1"
"LOC113633877","CFTR Intron 19 DNase I Hypersensitive Site","Biological Region","2","GC07P117639","2.53261971473694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC113633877"
"LOC113664106","CFTR Intron 2 DNase I Hypersensitive Site","Biological Region","2","GC07P117508","2.53261971473694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC113664106"
"LOC111674472","DNase I Hypersensitive Sites In Introns 16 And 17a Of CFTR","Biological Region","2","GC07P117607","2.53261971473694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111674472"
"LOC111674475","CFTR Intron 11 Enhancer","Biological Region","2","GC07P117587","2.53261971473694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111674475"
"KTCN8","Keratoconus 8","Genetic Locus","1","GC14U901338","2.53261971473694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KTCN8"
"KTCN6","Keratoconus 6","Genetic Locus","1","GC09U901758","2.53261971473694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KTCN6"
"TIMP2","TIMP Metallopeptidase Inhibitor 2","Protein Coding","42","GC17M078852","2.53177213668823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","37","GC17M036088","2.52369737625122","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"SPARC","Secreted Protein Acidic And Cysteine Rich","Protein Coding","48","GC05M151661","2.51529312133789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPARC"
"NCKAP1L","NCK Associated Protein 1 Like","Protein Coding","36","GC12P054497","2.5114426612854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCKAP1L"
"KRT10","Keratin 10","Protein Coding","41","GC17M040818","2.50576424598694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","44","GC04P087975","2.50050044059753","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"MKKS","MKKS Centrosomal Shuttling Protein","Protein Coding","38","GC20M010424","2.49938702583313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKKS"
"CASP8","Caspase 8","Protein Coding","50","GC02P201233","2.49312591552734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"PDCD1","Programmed Cell Death 1","Protein Coding","45","GC02M241849","2.49200224876404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1"
"PKD1","Polycystin 1, Transient Receptor Potential Channel Interacting","Protein Coding","44","GC16M004901","2.48942065238953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD1"
"ADAM10","ADAM Metallopeptidase Domain 10","Protein Coding","50","GC15M058588","2.48418068885803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM10"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","48","GC10M006010","2.47686982154846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"SDCCAG8","SHH Signaling And Ciliogenesis Regulator SDCCAG8","Protein Coding","41","GC01P243255","2.46721053123474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDCCAG8"
"CEP164","Centrosomal Protein 164","Protein Coding","39","GC11P117314","2.46721053123474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP164"
"TRAF3IP1","TRAF3 Interacting Protein 1","Protein Coding","37","GC02P238320","2.46721053123474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF3IP1"
"CXCR3","C-X-C Motif Chemokine Receptor 3","Protein Coding","43","GC0XM071615","2.46528005599976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR3"
"SLC35C1","Solute Carrier Family 35 Member C1","Protein Coding","38","GC11P046229","2.45852637290955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35C1"
"GCLC","Glutamate-Cysteine Ligase Catalytic Subunit","Protein Coding","42","GC06M053497","2.44836091995239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCLC"
"MIR326","MicroRNA 326","RNA Gene","20","GC11M075335","2.44836091995239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR326"
"NEK9","NIMA Related Kinase 9","Protein Coding","44","GC14M075079","2.44346642494202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK9"
"ACTB","Actin Beta","Protein Coding","47","GC07M005527","2.44120502471924","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTB"
"CD44","CD44 Molecule (Indian Blood Group)","Protein Coding","45","GC11P035139","2.44063830375671","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"MLXIPL","MLX Interacting Protein Like","Protein Coding","41","GC07M073593","2.43720531463623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLXIPL"
"MYH7","Myosin Heavy Chain 7","Protein Coding","45","GC14M023412","2.43439626693726","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH7"
"IL13","Interleukin 13","Protein Coding","42","GC05P132656","2.43411064147949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"MIR181C","MicroRNA 181c","RNA Gene","20","GC19P013912","2.41057872772217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181C"
"NPHS1","NPHS1 Adhesion Molecule, Nephrin","Protein Coding","44","GC19M035825","2.40960741043091","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPHS1"
