Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"ACTN1","Actinin Alpha 1","Protein Coding","48","GC14M068874","3.64594078063965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN1"
"MIR137","MicroRNA 137","RNA Gene","18","GC01M098046","3.62282705307007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR137"
"AHR","Aryl Hydrocarbon Receptor","Protein Coding","47","GC07P016916","3.62143754959106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR"
"DLL4","Delta Like Canonical Notch Ligand 4","Protein Coding","44","GC15P040929","3.61980819702148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLL4"
"TGIF1","TGFB Induced Factor Homeobox 1","Protein Coding","44","GC18P003411","3.61609506607056","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGIF1"
"AIP","Aryl Hydrocarbon Receptor Interacting Protein","Protein Coding","43","GC11P067468","3.60956072807312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIP"
"VDR","Vitamin D Receptor","Protein Coding","49","GC12M047841","3.60949230194092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"SPARC","Secreted Protein Acidic And Cysteine Rich","Protein Coding","48","GC05M151661","3.59905672073364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPARC"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","47","GC06P064289","3.5947573184967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"NR3C2","Nuclear Receptor Subfamily 3 Group C Member 2","Protein Coding","46","GC04M148078","3.57914662361145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C2"
"LTBP2","Latent Transforming Growth Factor Beta Binding Protein 2","Protein Coding","43","GC14M074498","3.57482838630676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP2"
"PECAM1","Platelet And Endothelial Cell Adhesion Molecule 1","Protein Coding","39","GC17M064319","3.56887435913086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PECAM1"
"TREX1","Three Prime Repair Exonuclease 1","Protein Coding","40","GC03P048484","3.5683741569519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREX1"
"ITGB1","Integrin Subunit Beta 1","Protein Coding","48","GC10M032909","3.55753231048584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1"
"SH2B3","SH2B Adaptor Protein 3","Protein Coding","45","GC12P111405","3.55546760559082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2B3"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","42","GC04M076021","3.55281352996826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","45","GC12P015588","3.54639506340027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"NEK2","NIMA Related Kinase 2","Protein Coding","50","GC01M211658","3.54186153411865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK2"
"PYGL","Glycogen Phosphorylase L","Protein Coding","46","GC14M050857","3.54022884368896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGL"
"IGF2R","Insulin Like Growth Factor 2 Receptor","Protein Coding","44","GC06P159969","3.53655815124512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2R"
"NOS1AP","Nitric Oxide Synthase 1 Adaptor Protein","Protein Coding","37","GC01P162069","3.53618860244751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1AP"
"IL17A","Interleukin 17A","Protein Coding","40","GC06P052186","3.53358507156372","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"GATA2","GATA Binding Protein 2","Protein Coding","47","GC03M128479","3.52424740791321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA2"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","44","GC11M017392","3.52106404304504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"NPY","Neuropeptide Y","Protein Coding","44","GC07P024290","3.51916217803955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPY"
"RAB7A","RAB7A, Member RAS Oncogene Family","Protein Coding","46","GC03P132405","3.5184531211853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB7A"
"KRT10","Keratin 10","Protein Coding","41","GC17M040818","3.51438546180725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10"
"AR","Androgen Receptor","Protein Coding","51","GC0XP067544","3.5088906288147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"MAPK9","Mitogen-Activated Protein Kinase 9","Protein Coding","46","GC05M180240","3.50555372238159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9"
"NEK9","NIMA Related Kinase 9","Protein Coding","44","GC14M075079","3.49986791610718","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK9"
"VPS33A","VPS33A Core Subunit Of CORVET And HOPS Complexes","Protein Coding","39","GC12M122229","3.49313831329346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS33A"
"MYOM2","Myomesin 2","Protein Coding","37","GC08P002045","3.49169635772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOM2"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","43","GC03P186842","3.48685956001282","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","51","GC10M121478","3.48233008384705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","52","GC15P098648","3.4755277633667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"F5","Coagulation Factor V","Protein Coding","44","GC01M169511","3.47502875328064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"GBA","Glucosylceramidase Beta","Protein Coding","45","GC01M155234","3.47177076339722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA"
"RUNX3","RUNX Family Transcription Factor 3","Protein Coding","41","GC01M024899","3.47045922279358","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX3"
"MIF","Macrophage Migration Inhibitory Factor","Protein Coding","47","GC22P023894","3.46470737457275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIF"
"MIR17HG","MiR-17-92a-1 Cluster Host Gene","RNA Gene","26","GC13P091347","3.46392822265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17HG"
"NAB2","NGFI-A Binding Protein 2","Protein Coding","39","GC12P057088","3.45378828048706","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAB2"
"HJV","Hemojuvelin BMP Co-Receptor","Protein Coding","35","GC01M146018","3.45330953598022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HJV"
"TOPORS","TOP1 Binding Arginine/Serine Rich Protein, E3 Ubiquitin Ligase","Protein Coding","41","GC09M032540","3.44545984268188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOPORS"
"KIAA1549","KIAA1549","Protein Coding","35","GC07M138831","3.44545984268188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA1549"
"FAM161A","FAM161 Centrosomal Protein A","Protein Coding","33","GC02M061792","3.44545984268188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM161A"
"PCARE","Photoreceptor Cilium Actin Regulator","Protein Coding","26","GC02M029060","3.44545984268188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCARE"
"SYNE2","Spectrin Repeat Containing Nuclear Envelope Protein 2","Protein Coding","38","GC14P063761","3.440505027771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNE2"
"NKX2-1","NK2 Homeobox 1","Protein Coding","45","GC14M036516","3.43484783172607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1"
"TNFRSF17","TNF Receptor Superfamily Member 17","Protein Coding","43","GC16P011965","3.42860174179077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF17"
"SLC30A10","Solute Carrier Family 30 Member 10","Protein Coding","41","GC01M219685","3.42700147628784","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A10"
"CRYAA","Crystallin Alpha A","Protein Coding","43","GC21P043169","3.42387437820435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYAA"
"GUSB","Glucuronidase Beta","Protein Coding","45","GC07M065960","3.42008209228516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB"
"GNPTAB","N-Acetylglucosamine-1-Phosphate Transferase Subunits Alpha And Beta","Protein Coding","40","GC12M101745","3.41533374786377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNPTAB"
"TINF2","TERF1 Interacting Nuclear Factor 2","Protein Coding","40","GC14M024244","3.40518021583557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINF2"
"SNRNP200","Small Nuclear Ribonucleoprotein U5 Subunit 200","Protein Coding","40","GC02M096910","3.37515091896057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP200"
"CX3CR1","C-X3-C Motif Chemokine Receptor 1","Protein Coding","43","GC03M039279","3.36614322662354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CX3CR1"
"FANCC","FA Complementation Group C","Protein Coding","45","GC09M095099","3.36100220680237","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC"
"ADAR","Adenosine Deaminase RNA Specific","Protein Coding","43","GC01M154582","3.36100220680237","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAR"
"MAP2K3","Mitogen-Activated Protein Kinase Kinase 3","Protein Coding","47","GC17P032860","3.36062097549438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K3"
"GNAS","GNAS Complex Locus","Protein Coding","49","GC20P058839","3.35253882408142","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","46","GC11M017400","3.34469175338745","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"MIR221","MicroRNA 221","RNA Gene","20","GC0XM045746","3.34085083007813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"HMGB1","High Mobility Group Box 1","Protein Coding","43","GC13M030456","3.34023499488831","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"HGF","Hepatocyte Growth Factor","Protein Coding","50","GC07M081699","3.33960628509521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF"
"TFR2","Transferrin Receptor 2","Protein Coding","43","GC07M100620","3.3252649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFR2"
"MAP2K6","Mitogen-Activated Protein Kinase Kinase 6","Protein Coding","45","GC17P069414","3.3206901550293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K6"
"CDKN3","Cyclin Dependent Kinase Inhibitor 3","Protein Coding","41","GC14P054398","3.31276631355286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN3"
"USH1C","USH1 Protein Network Component Harmonin","Protein Coding","40","GC11M017494","3.3053879737854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH1C"
"RPS6KA3","Ribosomal Protein S6 Kinase A3","Protein Coding","51","GC0XM020149","3.29589033126831","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA3"
"POU5F1","POU Class 5 Homeobox 1","Protein Coding","44","GC06M054126","3.28328371047974","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1"
"LMOD1","Leiomodin 1","Protein Coding","40","GC01M201896","3.28018569946289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMOD1"
"MIR181C","MicroRNA 181c","RNA Gene","20","GC19P013912","3.27852582931519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181C"
"FCGR2A","Fc Fragment Of IgG Receptor IIa","Protein Coding","44","GC01P161505","3.2732207775116","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2A"
"FTL","Ferritin Light Chain","Protein Coding","45","GC19P048965","3.26662755012512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTL"
"CANX","Calnexin","Protein Coding","42","GC05P179678","3.2637095451355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANX"
"MAF","MAF BZIP Transcription Factor","Protein Coding","44","GC16M079204","3.26278781890869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAF"
"SAMHD1","SAM And HD Domain Containing Deoxynucleoside Triphosphate Triphosphohydrolase 1","Protein Coding","41","GC20M036890","3.25939321517944","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAMHD1"
"IDH3B","Isocitrate Dehydrogenase (NAD(+)) 3 Non-Catalytic Subunit Beta","Protein Coding","44","GC20M002658","3.25599193572998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH3B"
"PRPF4","Pre-MRNA Processing Factor 4","Protein Coding","41","GC09P113275","3.25599193572998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF4"
"F2","Coagulation Factor II, Thrombin","Protein Coding","46","GC11P046720","3.24743938446045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"HLA-DPB1","Major Histocompatibility Complex, Class II, DP Beta 1","Protein Coding","42","GC06P064174","3.24458456039429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DPB1"
"CSMD1","CUB And Sushi Multiple Domains 1","Protein Coding","37","GC08M002953","3.23748564720154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSMD1"
"VCAN","Versican","Protein Coding","45","GC05P083471","3.23734283447266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAN"
"CXCR3","C-X-C Motif Chemokine Receptor 3","Protein Coding","43","GC0XM071615","3.23377847671509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR3"
"SDCCAG8","SHH Signaling And Ciliogenesis Regulator SDCCAG8","Protein Coding","41","GC01P243255","3.22799158096313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDCCAG8"
"ITGA3","Integrin Subunit Alpha 3","Protein Coding","45","GC17P050055","3.22672963142395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA3"
"PKD1","Polycystin 1, Transient Receptor Potential Channel Interacting","Protein Coding","44","GC16M004901","3.22470903396606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD1"
"EWSR1","EWS RNA Binding Protein 1","Protein Coding","43","GC22P029816","3.22395157814026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EWSR1"
"PRMT7","Protein Arginine Methyltransferase 7","Protein Coding","43","GC16P068396","3.22003746032715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT7"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","51","GC01M042925","3.21471929550171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"FTO","FTO Alpha-Ketoglutarate Dependent Dioxygenase","Protein Coding","44","GC16P053744","3.21440839767456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO"
"IL15","Interleukin 15","Protein Coding","38","GC04P141636","3.21215915679932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15"
"MAPK7","Mitogen-Activated Protein Kinase 7","Protein Coding","47","GC17P032760","3.19724798202515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK7"
"DEFB103B","Defensin Beta 103B","Protein Coding","28","GC08M007430","3.19471645355225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB103B"
"MIR181A2","MicroRNA 181a-2","RNA Gene","20","GC09P124692","3.17760682106018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A2"
"MIR25","MicroRNA 25","RNA Gene","20","GC07M100093","3.17760682106018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25"
"CERS3","Ceramide Synthase 3","Protein Coding","37","GC15M111159","3.17746448516846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERS3"
"FLII","FLII Actin Remodeling Protein","Protein Coding","41","GC17M018244","3.1750316619873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLII"
"SUCLG1","Succinate-CoA Ligase GDP/ADP-Forming Subunit Alpha","Protein Coding","44","GC02M084423","3.17317223548889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG1"
"ALOXE3","Arachidonate Lipoxygenase 3","Protein Coding","41","GC17M009577","3.17217421531677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOXE3"
"KIF1B","Kinesin Family Member 1B","Protein Coding","43","GC01P010210","3.16388320922852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF1B"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","45","GC11M027654","3.15827894210815","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"EFEMP2","EGF Containing Fibulin Extracellular Matrix Protein 2","Protein Coding","42","GC11M077513","3.15536832809448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFEMP2"
"MED13L","Mediator Complex Subunit 13L","Protein Coding","37","GC12M115953","3.15353298187256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED13L"
"MKKS","MKKS Centrosomal Shuttling Protein","Protein Coding","38","GC20M010424","3.14916324615479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKKS"
"CNP","2',3'-Cyclic Nucleotide 3' Phosphodiesterase","Protein Coding","42","GC17P041966","3.14167428016663","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNP"
"PEX6","Peroxisomal Biogenesis Factor 6","Protein Coding","41","GC06M042963","3.13769030570984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX6"
"NR5A1","Nuclear Receptor Subfamily 5 Group A Member 1","Protein Coding","49","GC09M124481","3.12584018707275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR5A1"
"GHR","Growth Hormone Receptor","Protein Coding","44","GC05P042429","3.12515878677368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHR"
"MLX","MAX Dimerization Protein MLX","Protein Coding","42","GC17P042567","3.10878419876099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLX"
"COG7","Component Of Oligomeric Golgi Complex 7","Protein Coding","37","GC16M023388","3.10878419876099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COG7"
"NAGA","Alpha-N-Acetylgalactosaminidase","Protein Coding","41","GC22M042058","3.1025230884552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGA"
"TNFAIP6","TNF Alpha Induced Protein 6","Protein Coding","40","GC02P151357","3.09074735641479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP6"
"COL1A2-AS1","COL1A2 Antisense RNA 1","RNA Gene","9","GC07M094261","3.07909059524536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2-AS1"
"THY1","Thy-1 Cell Surface Antigen","Protein Coding","40","GC11M119417","3.07906484603882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THY1"
"ADAM10","ADAM Metallopeptidase Domain 10","Protein Coding","50","GC15M058588","3.07759809494019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM10"
"BBS10","Bardet-Biedl Syndrome 10","Protein Coding","39","GC12M076344","3.07254266738892","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS10"
"PSMB8","Proteasome 20S Subunit Beta 8","Protein Coding","48","GC06M032840","3.07130241394043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB8"
"EMC1","ER Membrane Protein Complex Subunit 1","Protein Coding","35","GC01M019215","3.07127714157104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC1"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","43","GC02P203867","3.06788086891174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"TNC","Tenascin C","Protein Coding","47","GC09M115019","3.06608486175537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNC"
"ZEB2","Zinc Finger E-Box Binding Homeobox 2","Protein Coding","46","GC02M144384","3.06545829772949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZEB2"
"NANOG","Nanog Homeobox","Protein Coding","37","GC12P007787","3.05903744697571","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NANOG"
"EDNRA","Endothelin Receptor Type A","Protein Coding","48","GC04P147480","3.05766224861145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDNRA"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","48","GC18M063123","3.0557017326355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","48","GC17M043044","3.05379486083984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"PCDH15","Protocadherin Related 15","Protein Coding","39","GC10M053802","3.05254459381104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH15"
"DNAH8","Dynein Axonemal Heavy Chain 8","Protein Coding","36","GC06P064309","3.04860687255859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH8"
"GRIN2B","Glutamate Ionotropic Receptor NMDA Type Subunit 2B","Protein Coding","49","GC12M013437","3.04664516448975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B"
"SLC35C1","Solute Carrier Family 35 Member C1","Protein Coding","38","GC11P046229","3.04001617431641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35C1"
"ARSB","Arylsulfatase B","Protein Coding","42","GC05M078777","3.03898453712463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSB"
"CLDN4","Claudin 4","Protein Coding","40","GC07P073799","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN4"
"EIF4H","Eukaryotic Translation Initiation Factor 4H","Protein Coding","40","GC07P074174","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4H"
"CLDN3","Claudin 3","Protein Coding","39","GC07M073768","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN3"
"FKBP6","FKBP Prolyl Isomerase Family Member 6 (Inactive)","Protein Coding","38","GC07P073328","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP6"
"LAT2","Linker For Activation Of T Cells Family Member 2","Protein Coding","38","GC07P074199","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAT2"
"ABHD11","Abhydrolase Domain Containing 11","Protein Coding","37","GC07M073736","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD11"
"BCL7B","BAF Chromatin Remodeling Complex Subunit BCL7B","Protein Coding","36","GC07M073536","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL7B"
"DNAJC30","DnaJ Heat Shock Protein Family (Hsp40) Member C30","Protein Coding","33","GC07M073680","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC30"
"ZDHHC24","Zinc Finger DHHC-Type Containing 24","Protein Coding","33","GC11M077556","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC24"
"GTF2IRD2","GTF2I Repeat Domain Containing 2","Protein Coding","32","GC07M074796","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2IRD2"
"BUD23","BUD23 RRNA Methyltransferase And Ribosome Maturation Factor","Protein Coding","30","GC07P074025","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUD23"
"VPS37D","VPS37D Subunit Of ESCRT-I","Protein Coding","30","GC07P074023","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS37D"
"METTL27","Methyltransferase Like 27","Protein Coding","25","GC07M073895","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL27"
"TMEM270","Transmembrane Protein 270","Protein Coding","22","GC07P074046","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM270"
"USH2A-AS2","USH2A Antisense RNA 2","RNA Gene","8","GC01P216073","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH2A-AS2"
"USH2A-AS1","USH2A Antisense RNA 1","RNA Gene","8","GC01P216193","3.03634405136108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH2A-AS1"
"HBB","Hemoglobin Subunit Beta","Protein Coding","44","GC11M005870","3.03572201728821","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"TRPV4","Transient Receptor Potential Cation Channel Subfamily V Member 4","Protein Coding","48","GC12M109783","3.0316276550293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV4"
"PUS1","Pseudouridine Synthase 1","Protein Coding","41","GC12P131929","3.02671575546265","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUS1"
"BECN1","Beclin 1","Protein Coding","44","GC17M042810","3.01743960380554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN1"
"TAC1","Tachykinin Precursor 1","Protein Coding","41","GC07P097731","3.01692247390747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAC1"
"IL2","Interleukin 2","Protein Coding","43","GC04M122451","3.01302194595337","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"PRKACA","Protein Kinase CAMP-Activated Catalytic Subunit Alpha","Protein Coding","50","GC19M014256","3.00948190689087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACA"
"NLRP3","NLR Family Pyrin Domain Containing 3","Protein Coding","45","GC01P247415","3.00589442253113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3"
"LIPA","Lipase A, Lysosomal Acid Type","Protein Coding","46","GC10M089213","3.0001106262207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPA"
"LCN2","Lipocalin 2","Protein Coding","41","GC09P128149","2.99893045425415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCN2"
"LTA","Lymphotoxin Alpha","Protein Coding","40","GC06P064133","2.99550318717957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA"
"TSC2","TSC Complex Subunit 2","Protein Coding","48","GC16P007428","2.99101543426514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"MIR205","MicroRNA 205","RNA Gene","20","GC01P209432","2.98593640327454","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"STAT5B","Signal Transducer And Activator Of Transcription 5B","Protein Coding","47","GC17M042199","2.98428273200989","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT5B"
"MIR34A","MicroRNA 34a","RNA Gene","22","GC01M009151","2.97927236557007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"ALAS1","5'-Aminolevulinate Synthase 1","Protein Coding","43","GC03P052198","2.97840356826782","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAS1"
"MPO","Myeloperoxidase","Protein Coding","48","GC17M058269","2.97823190689087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"DTNBP1","Dystrobrevin Binding Protein 1","Protein Coding","40","GC06M015523","2.9768693447113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DTNBP1"
"MBP","Myelin Basic Protein","Protein Coding","43","GC18M076978","2.97321176528931","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBP"
"GPT","Glutamic--Pyruvic Transaminase","Protein Coding","40","GC08P144502","2.97308683395386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT"
"BMP7","Bone Morphogenetic Protein 7","Protein Coding","43","GC20M057168","2.95575475692749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP7"
